InputID,TargetID,Distance
344,5,6005274.55687
349,5,5997093.66304
339,5,6001252.72057
345,5,6002732.08637
352,5,6004623.68173
341,5,6001060.86538
346,5,6000661.15218
340,5,5999845.81258
351,5,6002445.70617
353,5,6006499.90445
338,5,6001344.37879
343,5,6002838.45035
342,5,6003268.37437
347,5,5998091.5036
348,5,5996519.07369
354,5,6006138.99581
350,5,5999772.69063
