,January,February,March,April,May,June,July,August,September,October,November,December
rsum,23.9,30.4,44.1,49.0,86.0,117.8,125.1,113.0,81.1,61.7,51.9,34.9
mtmax,2.8,5.8,10.7,15.3,20.5,23.4,25.3,24.7,20.4,14.6,7.7,3.6
mtmin,-3.7,-2.4,1.0,4.9,9.5,12.7,14.4,14.3,10.6,5.9,0.9,-2.3
tmin,-19.2,-19.3,-17.2,-5.5,-1.3,3.6,6.3,4.9,0.8,-6.4,-12.7,-16.5
